56	001837	前海开源沪港深蓝筹精选混合	混合型	42	29.02%	100	0	100	0	49	13.33%	72.75
57	002380	工银香港中小盘美元	QDII	100	0	100	0	47	11.25%	46	13.43%	73.25
58	002521	永赢双利债券A	债券型	100	0	1	178.04%	100	0	100	0	75.25
59	002881	中加丰润纯债债券A	债券型	100	0	2	76.2%	100	0	100	0	75.5
60	673071	西部利得新动力混合A	混合型	100	0	100	0	4	22.72%	100	0	76.0
61	150290	中融中证煤炭指数分级B	分级杠杆	5	63.78%	100	0	100	0	100	0	76.25
62	003453	招商招盛纯债C	债券型	100	0	100	0	6	20.56%	100	0	76.5
63	002425	金鹰保本混合C	保本型	8	60.56%	100	0	100	0	100	0	77.0
64	150023	申万菱信深证成指分级进取	分级杠杆	100	0	100	0	100	0	9	18.8%	77.25
65	150214	国投瑞银中证创业指数分级B	分级杠杆	100	0	100	0	100	0	15	16.88%	78.75
66	002734	泓德裕荣纯债债券A	债券型	100	0	16	29.94%	100	0	100	0	79.0
67	539002	建信新兴市场混合(QDII)	QDII	100	0	100	0	19	14.57%	100	0	79.75
68	150252	招商中证煤炭等权指数分级B	分级杠杆	20	42.76%	100	0	100	0	100	0	80.0
69	150232	申万菱信申万电子分级B	分级杠杆	100	0	100	0	100	0	21	15.83%	80.25
70	150095	泰信基本面400B	分级杠杆	22	41.51%	100	0	100	0	100	0	80.5
71	513030	华安德国30(DAX)ETF	QDII-ETF	100	0	100	0	23	13.43%	100	0	80.75
72	150322	富国中证煤炭指数分级B	分级杠杆	24	37.58%	100	0	100	0	100	0	81.0
73	160638	鹏华一带一路分级	股票指数	100	0	26	21.54%	100	0	100	0	81.5
74	003270	招商招乾纯债C	债券型	100	0	100	0	26	13.02%	100	0	81.5
75	002803	东方红沪港深混合	混合型	100	0	100	0	28	12.89%	100	0	82.0
76	000614	华安德国30(DAX)联接	QDII-指数	100	0	100	0	29	12.76%	100	0	82.25
77	001712	东方红优势精选混合	混合型	100	0	100	0	31	12.63%	100	0	82.75
78	370027	上投摩根智选30混合	混合型	100	0	100	0	100	0	32	14.72%	83.0
79	376510	上投大盘蓝筹	股票型	100	0	100	0	100	0	33	14.7%	83.25
80	502016	长信中证一带一路主题指数分级	股票指数	100	0	36	17.37%	100	0	100	0	84.0
81	169103	东方红睿轩沪港深混合	混合型	100	0	100	0	36	12.1%	100	0	84.0
82	000577	安信价值精选股票	股票型	37	30.14%	100	0	100	0	100	0	84.25
83	690007	民生加银景气行业混合	混合型	100	0	37	17.33%	100	0	100	0	84.25
84	377016	上投摩根亚太优势混合	QDII	100	0	100	0	37	12.09%	100	0	84.25
85	000989	嘉实全球互联网股票美元现汇	QDII	100	0	100	0	100	0	37	14.21%	84.25
86	150141	国金沪深300指数分级B	分级杠杆	38	29.79%	100	0	100	0	100	0	84.5
87	168201	中融一带一路分级	股票指数	100	0	38	17.18%	100	0	100	0	84.5
88	001703	银华沪港深增长股票	股票型	100	0	100	0	38	11.94%	100	0	84.5
89	000990	嘉实全球互联网股票美元现钞	QDII	100	0	100	0	100	0	38	14.21%	84.5
90	510020	博时上证超大盘ETF	ETF-场内	100	0	39	17.0%	100	0	100	0	84.75
91	001974	景顺长城量化新动力股票	股票型	100	0	40	16.98%	100	0	100	0	85.0
92	150238	鹏华环保分级B	分级杠杆	41	29.48%	100	0	100	0	100	0	85.25
93	150008	国投瑞银瑞和小康	固定收益	100	0	42	16.53%	100	0	100	0	85.5
94	001875	前海开源沪港深优势精选混合	混合型	100	0	100	0	100	0	42	13.84%	85.5
95	070012	嘉实海外中国股票混合	QDII	43	28.99%	100	0	100	0	100	0	85.75
96	000073	上投成长动力	混合型	100	0	100	0	100	0	43	13.71%	85.75
97	100055	富国全球顶级消费品混合	QDII	100	0	100	0	44	11.35%	100	0	86.0
98	050013	博时上证超大盘联接	联接基金	100	0	46	16.22%	100	0	100	0	86.5
99	002133	广发鑫益混合	混合型	100	0	100	0	46	11.26%	100	0	86.5
100	150101	鹏华资源分级B	分级杠杆	47	28.27%	100	0	100	0	100	0	86.75
101	540012	汇丰晋信恒生龙头指数A	股票指数	100	0	47	16.19%	100	0	100	0	86.75
102	502013	长盛中证申万一带一路分级	股票指数	100	0	48	16.11%	100	0	100	0	87.0
103	377240	上投摩根新兴动力混合A	混合型	100	0	100	0	100	0	48	13.37%	87.0
104	001149	汇丰晋信恒生龙头指数C	股票指数	100	0	49	15.89%	100	0	100	0	87.25
105	001397	建信精工制造指数增强	股票指数	50	27.67%	100	0	100	0	100	0	87.5
106	001437	易方达瑞享混合I	混合型	100	0	50	15.86%	100	0	100	0	87.5
107	000328	上投摩根转型动力	混合型	100	0	100	0	100	0	50	13.09%	87.5
108	000988	嘉实全球互联网股票人民币	QDII	100	0	100	0	100	0	51	13.09%	87.75
