86	002160	南方驱动混合	混合型	100	100	29	100	82.25
87	501021	华宝兴业香港中国中小盘	QDII-指数	100	30	100	100	82.5
88	001437	易方达瑞享混合I	混合型	100	100	30	100	82.5
89	530016	建信恒稳价值	混合型	31	100	100	100	82.75
90	001837	前海开源沪港深蓝筹精选混合	混合型	100	31	100	100	82.75
91	001438	易方达瑞享混合E	混合型	100	100	31	100	82.75
92	000527	南方新优享	混合型	100	100	100	31	82.75
93	270023	广发全球精选股票(QDII)	QDII	100	32	100	100	83.0
94	160639	鹏华高铁分级	股票指数	100	100	32	100	83.0
95	000363	国泰聚信价值优势灵活配置C	混合型	100	100	100	32	83.0
96	002443	前海开源沪港深龙头精选混合	混合型	100	33	100	100	83.25
97	160136	南方中证国有企业改革指数分级	股票指数	100	100	33	100	83.25
98	001986	前海开源人工智能主题混合	混合型	34	100	100	100	83.5
99	160512	博时卓越品牌混合(LOF)	混合型	100	100	100	34	83.5
100	310388	申万菱信消费增长混合	混合型	100	35	100	100	83.75
101	002383	大成趋势回报灵活配置混合	混合型	36	100	100	100	84.0
102	502006	易方达国企改革指数分级	股票指数	100	100	36	100	84.0
103	000020	景顺长城品质投资混合	混合型	37	100	100	100	84.25
104	000834	大成纳斯达克100指数	QDII-指数	100	100	37	100	84.25
105	040025	华安科技动力混合	混合型	100	100	100	37	84.25
106	000071	华夏恒生ETF联接	QDII-指数	100	100	100	38	84.5
107	260108	景顺长城新兴成长混合	混合型	39	100	100	100	84.75
108	002529	泰康安益纯债C	债券型	100	100	39	100	84.75
109	519704	交银先进制造混合	混合型	100	100	100	39	84.75
110	398031	中海蓝筹灵活	混合型	40	100	100	100	85.0
111	002803	东方红沪港深混合	混合型	100	100	40	100	85.0
112	001645	国泰大健康股票	股票型	41	100	100	100	85.25
113	080006	长盛环球行业混合(QDII)	QDII	100	41	100	100	85.25
114	001112	东方红中国优势混合	混合型	100	100	41	100	85.25
115	000309	大摩品质生活股票	股票型	100	100	100	41	85.25
116	202003	南方绩优成长混合	混合型	42	100	100	100	85.5
117	519714	交银消费新驱动股票	股票型	100	100	100	42	85.5
118	161217	国投瑞银中证指数	股票指数	100	100	43	100	85.75
119	001810	中欧潜力价值灵活配置混合	混合型	100	100	100	43	85.75
120	460010	华泰柏瑞亚洲领导企业混合	QDII	100	44	100	100	86.0
121	162415	华宝标普美国消费人民币	QDII-指数	100	100	44	100	86.0
122	160211	国泰中小盘成长混合(LOF)	混合型	45	100	100	100	86.25
123	001178	前海开源再融资股票	股票型	100	100	100	45	86.25
124	373010	上投摩根双息平衡混合A	混合型	46	100	100	100	86.5
125	539002	建信新兴市场混合(QDII)	QDII	100	46	100	100	86.5
126	160716	嘉实基本面50	股票指数	100	100	46	100	86.5
127	200012	长城中小盘成长混合	混合型	100	100	100	46	86.5
128	200006	长城消费增值混合	混合型	47	100	100	100	86.75
129	161229	国投瑞银中国价值发现股票	QDII	100	47	100	100	86.75
130	000248	汇添富中证主要消费ETF联接	联接基金	100	100	47	100	86.75
131	000628	大成高新技术产业股票	股票型	100	100	100	47	86.75
132	160212	国泰估值优势混合(LOF)	混合型	48	100	100	100	87.0
133	160322	华夏港股通精选股票LOF	股票型	100	48	100	100	87.0
134	001927	华夏消费升级灵活配置混合A	混合型	100	100	48	100	87.0
135	020023	国泰事件驱动策略混合	混合型	100	100	100	48	87.0
136	519908	华夏兴华混合A	混合型	49	100	100	100	87.25
137	540002	汇丰晋信龙腾混合	混合型	100	100	49	100	87.25
138	540009	汇丰晋信消费红利	股票型	100	50	100	100	87.5
139	519095	新华行业周期轮换混合	混合型	100	100	50	100	87.5
140	540006	汇丰晋信大盘股票A	股票型	100	100	100	50	87.5
