排序	编码		名称		类型		2016-11-21	2017-03-24	净增长	增长率
1	150270	招商中证白酒指数分级B		分级杠杆		0.9320		1.3280		0.396	42.49%
2	002534	华安稳固收益债券A		债券型		1.1120		1.5710		0.459	41.28%
3	150230	鹏华酒分级B		分级杠杆		0.8060		1.0760		0.27	33.5%
4	673071	西部利得新动力混合A		混合型		1.0000		1.2272		0.2272	22.72%
5	150274	鹏华一带一路分级B		分级杠杆		0.6180		0.7470		0.129	20.87%
6	003453	招商招盛纯债C		债券型		1.0598		1.2777		0.2179	20.56%
7	161725	招商中证白酒指数分级		股票指数		1.0020		1.2070		0.205	20.46%
8	150176	银华恒生国企指数分级B		分级杠杆		0.7794		0.9234		0.144	18.48%
9	110022	易方达消费行业		股票型		1.4020		1.6500		0.248	17.69%
10	150050	南方消费进取		分级杠杆		2.3630		2.7790		0.416	17.6%
11	241001	华宝海外中国混合(QDII)		QDII		1.2440		1.4520		0.208	16.72%
12	000927	博时大中华亚太精选美元现汇		QDII		0.1505		0.1746		0.0241	16.01%
13	150276	安信一带一路分级B		分级杠杆		0.5870		0.6800		0.093	15.84%
14	000041	华夏全球精选		QDII		0.7660		0.8850		0.119	15.54%
15	002851	南方品质混合		混合型		1.0150		1.1720		0.157	15.47%
16	002533	中加心享混合C		混合型		1.0359		1.1955		0.1596	15.41%
17	160632	鹏华酒分级		股票指数		0.9410		1.0840		0.143	15.2%
18	050015	博时大中华亚太精选股票		QDII		1.1130		1.2770		0.164	14.73%
19	539002	建信新兴市场混合(QDII)		QDII		0.7550		0.8650		0.11	14.57%
20	000457	上投摩根核心成长		股票型		1.8020		2.0530		0.251	13.93%
21	150170	汇添富恒生指数分级B		分级杠杆		0.9950		1.1320		0.137	13.77%
22	001112	东方红中国优势混合		混合型		1.0330		1.1730		0.14	13.55%
23	513030	华安德国30(DAX)ETF		QDII-ETF		0.9160		1.0390		0.123	13.43%
24	020026	国泰成长优选混合		混合型		2.6040		2.9510		0.347	13.33%
25	001878	嘉实沪港深精选股票		股票型		1.2080		1.3680		0.16	13.25%
26	003270	招商招乾纯债C		债券型		1.0211		1.1540		0.1329	13.02%
27	150296	南方中证国有企业改革分级B		分级杠杆		0.7989		0.9023		0.1034	12.94%
28	002803	东方红沪港深混合		混合型		1.0320		1.1650		0.133	12.89%
29	000614	华安德国30(DAX)联接		QDII-指数		1.0030		1.1310		0.128	12.76%
30	000974	安信消费医药股票		股票型		1.1330		1.2770		0.144	12.71%
31	001712	东方红优势精选混合		混合型		0.9900		1.1150		0.125	12.63%
32	110011	易方达中小盘混合		混合型		2.9894		3.3659		0.3765	12.59%
33	519606	国泰金鑫		股票型		1.4820		1.6680		0.186	12.55%
34	002230	华夏大中华混合(QDII)		QDII		1.2720		1.4310		0.159	12.5%
35	206007	鹏华消费优选混合		混合型		1.6100		1.8060		0.196	12.17%
36	169103	东方红睿轩沪港深混合		混合型		1.0830		1.2140		0.131	12.1%
37	377016	上投摩根亚太优势混合		QDII		0.6040		0.6770		0.073	12.09%
38	001703	银华沪港深增长股票		股票型		1.0130		1.1340		0.121	11.94%
39	502008	易方达国企改革指数分级B		分级杠杆		0.8961		1.0019		0.1058	11.81%
40	501021	华宝兴业香港中国中小盘		QDII-指数		1.0801		1.2068		0.1267	11.73%
41	001986	前海开源人工智能主题混合		混合型		1.0250		1.1440		0.119	11.61%
42	150266	中融一带一路分级B		分级杠杆		1.3880		1.5490		0.161	11.6%
43	050018	博时行业轮动混合		混合型		1.0430		1.1630		0.12	11.51%
44	100055	富国全球顶级消费品混合		QDII		1.1630		1.2950		0.132	11.35%
45	002160	南方驱动混合		混合型		1.0880		1.2110		0.123	11.31%
46	002133	广发鑫益混合		混合型		1.0210		1.1360		0.115	11.26%
47	002380	工银香港中小盘美元		QDII		0.1609		0.1790		0.0181	11.25%
48	150124	建信央视50B		分级杠杆		1.6482		1.8336		0.1854	11.25%
49	000854	鹏华养老产业		股票型		1.2140		1.3500		0.136	11.2%
50	000934	国富大中华精选混合		QDII		1.0000		1.1110		0.111	11.1%
51	502018	长信中证一带一路指数分级B		分级杠杆		1.1380		1.2640		0.126	11.07%
