排序	编码		名称		类型		2017-01-03	2017-03-24	净增长	增长率
1	002534	华安稳固收益债券A		债券型		1.0800		1.5710		0.491	45.46%
2	150270	招商中证白酒指数分级B		分级杠杆		0.9620		1.3280		0.366	38.05%
3	150230	鹏华酒分级B		分级杠杆		0.8160		1.0760		0.26	31.86%
4	150274	鹏华一带一路分级B		分级杠杆		0.6050		0.7470		0.142	23.47%
5	150276	安信一带一路分级B		分级杠杆		0.5600		0.6800		0.12	21.43%
6	150176	银华恒生国企指数分级B		分级杠杆		0.7742		0.9234		0.1492	19.27%
7	241001	华宝海外中国混合(QDII)		QDII		1.2180		1.4520		0.234	19.21%
8	001878	嘉实沪港深精选股票		股票型		1.1510		1.3680		0.217	18.85%
9	150023	申万菱信深证成指分级进取		分级杠杆		0.1606		0.1908		0.0302	18.8%
10	161725	招商中证白酒指数分级		股票指数		1.0190		1.2070		0.188	18.45%
11	502015	长盛中证申万一带一路分级B		分级杠杆		0.6030		0.7140		0.111	18.41%
12	150050	南方消费进取		分级杠杆		2.3600		2.7790		0.419	17.75%
13	164906	交银中证海外中国互联网指数		QDII-指数		0.9440		1.1060		0.162	17.16%
14	000457	上投摩根核心成长		股票型		1.7560		2.0530		0.297	16.91%
15	150214	国投瑞银中证创业指数分级B		分级杠杆		0.3850		0.4500		0.065	16.88%
16	206007	鹏华消费优选混合		混合型		1.5470		1.8060		0.259	16.74%
17	000927	博时大中华亚太精选美元现汇		QDII		0.1502		0.1746		0.0244	16.25%
18	000934	国富大中华精选混合		QDII		0.9580		1.1110		0.153	15.97%
19	502018	长信中证一带一路指数分级B		分级杠杆		1.0900		1.2640		0.174	15.96%
20	150124	建信央视50B		分级杠杆		1.5827		1.8336		0.2509	15.85%
21	150232	申万菱信申万电子分级B		分级杠杆		0.9744		1.1286		0.1542	15.83%
22	110022	易方达消费行业		股票型		1.4260		1.6500		0.224	15.71%
23	002851	南方品质混合		混合型		1.0140		1.1720		0.158	15.58%
24	150170	汇添富恒生指数分级B		分级杠杆		0.9800		1.1320		0.152	15.51%
25	150296	南方中证国有企业改革分级B		分级杠杆		0.7813		0.9023		0.121	15.49%
26	002230	华夏大中华混合(QDII)		QDII		1.2410		1.4310		0.19	15.31%
27	000854	鹏华养老产业		股票型		1.1710		1.3500		0.179	15.29%
28	050018	博时行业轮动混合		混合型		1.0110		1.1630		0.152	15.03%
29	002533	中加心享混合C		混合型		1.0395		1.1955		0.156	15.01%
30	001986	前海开源人工智能主题混合		混合型		0.9960		1.1440		0.148	14.86%
31	502008	易方达国企改革指数分级B		分级杠杆		0.8724		1.0019		0.1295	14.84%
32	370027	上投摩根智选30混合		混合型		1.4810		1.6990		0.218	14.72%
33	376510	上投大盘蓝筹		股票型		1.2860		1.4750		0.189	14.7%
34	150266	中融一带一路分级B		分级杠杆		1.3540		1.5490		0.195	14.4%
35	000041	华夏全球精选		QDII		0.7740		0.8850		0.111	14.34%
36	160632	鹏华酒分级		股票指数		0.9490		1.0840		0.135	14.23%
37	000989	嘉实全球互联网股票美元现汇		QDII		0.9150		1.0450		0.13	14.21%
38	000990	嘉实全球互联网股票美元现钞		QDII		0.9150		1.0450		0.13	14.21%
39	050015	博时大中华亚太精选股票		QDII		1.1190		1.2770		0.158	14.12%
40	519606	国泰金鑫		股票型		1.4630		1.6680		0.205	14.01%
41	150288	中融国证钢铁行业指数分级B		分级杠杆		0.6350		0.7230		0.088	13.86%
42	001875	前海开源沪港深优势精选混合		混合型		1.1270		1.2830		0.156	13.84%
43	000073	上投成长动力		混合型		1.0140		1.1530		0.139	13.71%
44	501021	华宝兴业香港中国中小盘		QDII-指数		1.0625		1.2068		0.1443	13.58%
45	110011	易方达中小盘混合		混合型		2.9663		3.3659		0.3996	13.47%
46	002380	工银香港中小盘美元		QDII		0.1578		0.1790		0.0212	13.43%
47	020026	国泰成长优选混合		混合型		2.6030		2.9510		0.348	13.37%
48	377240	上投摩根新兴动力混合A		混合型		2.0340		2.3060		0.272	13.37%
49	001837	前海开源沪港深蓝筹精选混合		混合型		1.1180		1.2670		0.149	13.33%
50	000328	上投摩根转型动力		混合型		1.3370		1.5120		0.175	13.09%
51	000988	嘉实全球互联网股票人民币		QDII		1.0390		1.1750		0.136	13.09%
